================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۱_۱۳۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 2183
================================================================================

[00:29:06.288 --> 00:29:09.494] patient_2
[00:29:08.313 --> 00:29:09.038] patient_3
[00:29:09.038 --> 00:29:09.477] patient_4
[00:29:09.545 --> 00:29:10.017] patient_3
[00:29:10.085 --> 00:29:15.890] patient_2
[00:29:10.338 --> 00:29:13.966] patient_4
[00:29:13.966 --> 00:29:28.816] patient_3
[00:29:28.799 --> 00:29:29.744] patient_4
[00:29:28.816 --> 00:29:30.233] doctor
[00:29:30.233 --> 00:29:31.364] patient_4
[00:29:30.318 --> 00:29:30.757] doctor
[00:29:31.364 --> 00:29:42.434] doctor
[00:29:41.185 --> 00:29:42.350] patient_3
[00:29:44.560 --> 00:29:52.002] patient_3
[00:29:48.273 --> 00:29:59.967] doctor
[00:29:53.167 --> 00:29:54.230] patient_3
[00:29:54.230 --> 00:29:54.803] patient_4
[00:29:54.803 --> 00:29:56.963] patient_3
[00:30:00.031 --> 00:30:02.039] doctor
[00:30:00.031 --> 00:30:10.038] patient_1
[00:30:07.338 --> 00:30:07.979] doctor
[00:30:08.789 --> 00:30:09.430] doctor
[00:30:10.038 --> 00:30:10.679] doctor
[00:30:10.679 --> 00:30:14.442] patient_1
[00:30:10.747 --> 00:30:24.145] doctor
[00:30:18.138 --> 00:30:20.669] patient_1
[00:30:24.280 --> 00:30:31.418] doctor
[00:30:31.418 --> 00:30:46.353] patient_1
[00:30:36.650 --> 00:30:41.071] doctor
[00:30:43.045 --> 00:30:46.657] doctor
[00:30:46.792 --> 00:30:53.035] doctor
[00:30:55.246 --> 00:31:06.755] patient_1
[00:30:55.499 --> 00:30:57.052] doctor
[00:31:01.220 --> 00:31:01.895] doctor
[00:31:05.472 --> 00:31:10.636] doctor
[00:31:07.177 --> 00:31:07.868] patient_1
[00:31:09.640 --> 00:31:10.130] patient_1
[00:31:10.889 --> 00:31:14.078] patient_1
[00:31:14.078 --> 00:31:14.804] doctor
[00:31:15.968 --> 00:31:23.309] patient_1
[00:31:23.545 --> 00:31:28.540] patient_1
[00:31:30.413 --> 00:31:30.886] doctor
[00:31:31.291 --> 00:31:33.687] doctor
[00:31:33.957 --> 00:31:36.337] patient_1
[00:31:36.691 --> 00:31:37.248] patient_1
[00:31:37.248 --> 00:31:37.838] doctor
[00:31:37.923 --> 00:31:43.762] doctor
[00:31:40.302 --> 00:31:43.542] patient_1
[00:31:44.825 --> 00:33:04.340] patient_1
[00:31:47.812 --> 00:31:51.963] doctor
[00:31:54.038 --> 00:31:56.350] doctor
[00:31:57.380 --> 00:31:58.257] doctor
[00:32:01.953 --> 00:32:03.117] doctor
[00:32:03.134 --> 00:32:04.788] doctor
[00:32:10.188 --> 00:32:12.162] doctor
[00:32:13.293 --> 00:32:14.457] doctor
[00:32:15.571 --> 00:32:20.380] doctor
[00:32:21.528 --> 00:32:22.523] doctor
[00:32:34.538 --> 00:32:35.315] doctor
[00:32:38.234 --> 00:32:39.584] doctor
[00:32:40.850 --> 00:32:44.292] doctor
[00:32:46.334 --> 00:32:48.460] doctor
[00:32:56.712 --> 00:33:00.965] doctor
[00:33:02.804 --> 00:33:07.765] doctor
[00:33:05.707 --> 00:33:32.200] patient_1
[00:33:11.056 --> 00:33:17.519] doctor
[00:33:27.948 --> 00:33:28.910] doctor
[00:33:29.838 --> 00:33:30.580] doctor
[00:33:32.403 --> 00:33:48.046] patient_1
[00:33:34.192 --> 00:33:43.540] doctor
[00:33:45.093 --> 00:33:46.325] doctor
[00:33:48.670 --> 00:33:49.244] patient_1
[00:33:50.577 --> 00:34:24.277] patient_1
[00:33:50.965 --> 00:33:52.113] doctor
[00:33:55.555 --> 00:34:02.693] doctor
[00:34:04.094 --> 00:34:04.887] doctor
[00:34:06.811 --> 00:34:09.427] doctor
[00:34:10.760 --> 00:34:14.371] doctor
[00:34:16.278 --> 00:34:27.972] doctor
[00:34:25.913 --> 00:34:26.825] patient_1
[00:34:27.027 --> 00:34:27.483] patient_1
[00:34:27.972 --> 00:34:29.980] patient_1
[00:34:29.980 --> 00:34:30.554] doctor
[00:34:32.967 --> 00:34:33.693] doctor
[00:34:33.693 --> 00:34:38.519] patient_1
[00:34:34.975 --> 00:34:37.490] doctor
[00:34:38.823 --> 00:34:42.063] patient_1
[00:34:49.977 --> 00:34:51.293] doctor
[00:34:51.344 --> 00:34:56.288] doctor
[00:34:51.884 --> 00:34:52.711] patient_1
[00:34:56.575 --> 00:34:59.967] doctor
[00:35:00.031 --> 00:35:04.672] patient_1
[00:35:05.971 --> 00:35:20.112] patient_1
[00:35:21.698 --> 00:35:27.503] patient_1
[00:35:29.596 --> 00:35:37.949] patient_1
[00:35:33.190 --> 00:35:33.680] doctor
[00:35:38.101 --> 00:35:44.682] patient_1
[00:35:41.898 --> 00:35:44.446] doctor
[00:35:44.969 --> 00:35:48.648] patient_1
[00:35:45.121 --> 00:35:47.956] doctor
[00:35:51.382 --> 00:36:01.878] patient_1
[00:35:55.685 --> 00:35:57.693] doctor
[00:35:59.262 --> 00:36:01.692] doctor
[00:36:02.198 --> 00:36:06.029] patient_1
[00:36:12.998 --> 00:36:19.276] patient_1
[00:36:19.900 --> 00:36:21.605] patient_1
[00:36:22.162 --> 00:36:26.161] patient_1
[00:36:23.680 --> 00:36:24.592] doctor
[00:36:26.870 --> 00:36:31.865] patient_1
[00:36:35.965 --> 00:36:49.027] patient_1
[00:36:37.822 --> 00:36:38.480] doctor
[00:36:40.032 --> 00:36:43.120] doctor
