================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۹_۱۳۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 1661
================================================================================

[01:52:20.228 --> 01:52:28.582] patient_1
[01:52:21.460 --> 01:52:22.068] doctor
[01:52:24.143 --> 01:52:26.928] doctor
[01:52:28.784 --> 01:52:32.800] doctor
[01:52:32.665 --> 01:52:33.340] patient_1
[01:52:33.340 --> 01:52:33.897] doctor
[01:52:34.471 --> 01:52:35.180] patient_1
[01:52:35.382 --> 01:52:36.817] doctor
[01:52:36.732 --> 01:52:37.897] patient_1
[01:52:37.897 --> 01:52:42.031] doctor
[01:52:39.820 --> 01:52:40.343] patient_1
[01:52:40.765 --> 01:52:42.470] patient_1
[01:52:43.448 --> 01:52:47.380] patient_1
[01:52:47.802 --> 01:52:49.152] patient_1
[01:52:48.781 --> 01:52:51.008] doctor
[01:52:50.755 --> 01:52:51.987] patient_1
[01:52:51.599 --> 01:52:53.877] doctor
[01:52:53.135 --> 01:52:55.058] patient_1
[01:52:54.856 --> 01:52:56.240] doctor
[01:52:56.307 --> 01:53:00.779] patient_1
[01:53:01.201 --> 01:53:05.470] doctor
[01:53:03.563 --> 01:53:04.289] patient_1
[01:53:06.162 --> 01:53:07.951] doctor
[01:53:07.765 --> 01:53:08.812] patient_1
[01:53:08.812 --> 01:53:09.487] doctor
[01:53:09.689 --> 01:53:20.911] patient_1
[01:53:12.760 --> 01:53:13.385] doctor
[01:53:14.802 --> 01:53:15.410] doctor
[01:53:17.975 --> 01:53:19.207] doctor
[01:53:19.814 --> 01:53:20.877] doctor
[01:53:20.911 --> 01:53:30.361] doctor
[01:53:30.580 --> 01:53:32.150] patient_1
[01:53:35.103 --> 01:53:35.525] patient_1
[01:53:37.060 --> 01:53:38.596] doctor
[01:53:38.225 --> 01:53:41.718] patient_1
[01:53:44.857 --> 01:53:45.278] patient_1
[01:53:45.042 --> 01:53:46.747] doctor
[01:53:46.072 --> 01:53:54.965] patient_1
[01:53:49.160 --> 01:53:51.556] doctor
[01:53:53.733 --> 01:53:54.307] doctor
[01:53:54.543 --> 01:53:58.103] doctor
[01:53:57.850 --> 01:54:02.525] patient_1
[01:53:59.555 --> 01:54:00.837] doctor
[01:54:02.508 --> 01:54:03.588] doctor
[01:54:03.233 --> 01:54:04.128] patient_1
[01:54:04.060 --> 01:54:05.258] doctor
[01:54:05.528 --> 01:54:06.980] patient_1
[01:54:06.980 --> 01:54:10.827] doctor
[01:54:11.114 --> 01:54:16.177] doctor
[01:54:13.730 --> 01:54:14.303] patient_1
[01:54:15.248 --> 01:54:16.987] patient_1
[01:54:16.784 --> 01:54:17.746] doctor
[01:54:17.560 --> 01:54:18.607] patient_1
[01:54:18.826 --> 01:54:20.092] doctor
[01:54:19.568 --> 01:54:21.442] patient_1
[01:54:21.897 --> 01:54:23.382] patient_1
[01:54:22.437 --> 01:54:26.707] doctor
[01:54:24.175 --> 01:54:33.035] patient_1
[01:54:28.563 --> 01:54:29.440] doctor
[01:54:32.377 --> 01:54:34.351] doctor
[01:54:33.355 --> 01:54:34.587] patient_1
[01:54:37.777 --> 01:54:39.194] patient_1
[01:56:03.464 --> 01:56:09.893] doctor
[01:56:14.416 --> 01:56:16.407] doctor
[01:56:18.550 --> 01:56:19.428] doctor
[01:56:22.280 --> 01:56:22.853] doctor
[01:56:32.202 --> 01:56:32.725] doctor
[01:56:39.442 --> 01:56:39.897] doctor
[01:57:00.856 --> 01:57:01.598] doctor
[01:57:06.003 --> 01:57:06.543] doctor
[01:57:08.888 --> 01:57:09.496] doctor
[01:57:36.648 --> 01:57:55.092] doctor
[01:58:02.180 --> 01:58:08.137] doctor
[01:58:10.263 --> 01:58:11.107] doctor
[01:58:13.520 --> 01:58:14.178] doctor
[01:58:26.513 --> 01:58:27.374] doctor
[01:58:28.910 --> 01:58:33.230] doctor
[01:58:37.381 --> 01:58:45.430] doctor
[01:58:48.215 --> 01:58:49.025] doctor
[01:58:49.497 --> 01:58:53.024] doctor
[01:58:53.176 --> 01:58:54.037] doctor
[01:58:55.049 --> 01:58:57.935] doctor
[01:58:56.956 --> 01:58:57.412] patient_1
[01:59:04.651 --> 01:59:05.258] doctor
[01:59:11.300 --> 01:59:16.413] doctor
[01:59:17.189 --> 01:59:17.577] doctor
[01:59:18.556 --> 01:59:33.929] doctor
[01:59:34.672 --> 01:59:35.498] doctor
[01:59:36.730 --> 01:59:59.967] doctor
[02:00:00.031 --> 02:00:03.423] doctor
[02:00:03.777 --> 02:00:09.515] doctor
